,MIC_20,MIC_25,MIC_30,MIC_35,MIC_37,MIC_41
00000,11.3,5.65,2,0.175,0.09,0.015635
00001,724.45,256.125,256.125,2,1,0.175
00010,11.3,8,4,0.125,0.125,0.02
00011,724.45,256.125,512.25,64.03,90.55,5.65
00100,22.65,11.3,11.3,0.175,0.25,0.09
00101,4098,2049,2897.7,362.2,45.3,1.4
00110,16.01,11.3,16.01,0.25,0.25,0.125
00111,8096,4098,4098,1448.7,1024.5,362.2
01000,16.01,5.65,5.65,0.09,0.125,0.045
01001,1024.5,724.45,724.45,128.06,181.1,5.65
01010,8,4,2.85,0.09,0.125,0.175
01011,1448.7,724.45,724.45,181.1,362.2,45.3
01100,128,32.015,32.015,1,1.4,0.5
01101,8096,2897.7,4098,1448.7,724.5,90.55
01110,45.3,22.65,22.65,0.705,45.3,0.25
01111,8096,8096,4098,2049,2049,512.25
10000,16.01,8,5.65,0.09,0.125,0.0625
10001,362.2,362.2,256.125,2.85,1,0.25
10010,11.3,8,5.65,0.09,0.125,0.25
10011,724.45,362.2,512.25,128.06,64.03,16.01
100100,22.65,16.01,22.65,0.355,0.25,0.09
10101,4098,2049,4098,181.1,4,2
10110,16.01,11.3,16.01,0.25,0.355,0.175
10111,4098,2897.7,4098,1448.7,1024.5,724.45
11000,11.3,8,8,0.25,2.85,0.0625
11001,1448.7,724.45,724.45,181.1,32.015,4
11010,11.3,5.65,5.65,0.25,0.125,0.09
11011,2049,1024.5,1448.7,362.2,181.1,90.55
11100,64.03,22.65,64.03,1,1,0.25
11101,4098,4098,8096,2049,1024.5,128.0625
11110,32.015,16.01,45.3,1,0.705,0.5
11111,4098,2897.7,4098,2049,1448.7,1448.7